Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Pakistan,2004,"1,32E+16",783.125.557,7.747.853.357,588,170648620,2.235.149.207,63.052,78.1
Afghanistan,2005,6203256539,1.122.971.483,254.115.276,7.914,24411191,3.576.508.004,58.361,78
Bangladesh,2005,69476001430,6.535.944.939,4.930.432.506,4.25,140912590,1.517.975.111,67.299,49.3
India,2005,"8,20E+16",7.923.430.621,7.105.112.225,8.697,1154638713,1.604.129.169,64.996,56.8
Sri Lanka,2005,24405791045,6.241.748.044,1.240.518.312,7.67,19673866,936.752.887,72.118,12.1
Nepal,2005,8130258378,3.479.181.048,3.093.104.186,10.652,26285110,1.075.359.276,65.457,46.5
Pakistan,2005,"1,45E+16",7.276.574.436,8.327.511.375,582,174372098,2.158.492.155,62.466,76.8
Afghanistan,2006,6971758282,5.357.403.247,2.740.153.923,7.918,25442944,4.139.678.035,58.684,75.1
Bangladesh,2006,71795735672,6.671.904.986,5.033.746.345,3.591,142628831,1.210.589.941,67.241,47
India,2006,"9,40E+15",8.060.732.572,802.013.742,8.614,1172373788,152.430.796,65.412,54.8
Sri Lanka,2006,28279802406,7.668.291.901,1.423.190.621,6.5,19870706,995.543.084,71.969,11.5
Nepal,2006,9043715356,3.364.614.781,34.102.814,10.659,26518971,88.577.445,65.868,44.6
Pakistan,2006,"1,62E+16",6.051.637.676,9.090.324.033,582,178069984,2.098.513.142,63.731,75.5
Afghanistan,2007,9747886187,1.382.631.955,3.763.182.996,7.908,25903301,1.793.195.727,59.111,72.3
Bangladesh,2007,79611644984,7.058.599.354,552.337.247,4.045,144135934,1.051.117.194,66.714,44.8
India,2007,"1,22E+17",7.660.815.067,1.022.732.467,8.534,1189691809,146.637.175,65.788,52.8
Sri Lanka,2007,32350238760,6.796.826.119,1.611.175.587,5.97,20078655,1.041.072.362,72.049,10.8
Nepal,2007,10325618017,341.156.028,3.865.295.864,10.672,26713655,731.449.423,66.329,42.9
Pakistan,2007,"1,84E+16",444.481.434,1.012.182.794,398,181924521,2.141.523.972,63.852,74.3
Afghanistan,2008,10109297048,392.498.382,3.825.338.072,7.92,26427199,2.002.333.262,59.852,69.6
Bangladesh,2008,91636997445,6.013.789.757,6.301.483.077,4.516,145421318,887.833.017,67.051,42.7
India,2008,"1,20E+16",3.086.698.059,9.935.034.053,8.486,1206734806,1.422.391.509,66.149,50.8
Sri Lanka,2008,40713826215,5.950.088.145,2.007.026.655,5.22,20285643,1.025.608.395,71.729,10.3
Nepal,2008,12545438605,6.104.639.144,4.666.933.791,10.65,26881544,626.509.659,66.421,41.2
Pakistan,2008,"2,02E+16",2.120.441.043,1.087.514.777,423,185931955,2.178.889.217,64.036,73
Afghanistan,2009,12416152732,2.139.052.839,4.533.873.851,7.914,27385307,3.561.288.374,60.364,67
Bangladesh,2009,"1,02E+16",5.045.124.799,6.985.030.788,5,146706810,880.093.476,67.403,40.7
India,2009,"1,34E+17",7.861.888.833,1.096.636.136,8.406,1223640160,139.119.493,66.513,48.7
Sri Lanka,2009,42066224093,3.538.912.053,2.053.766.451,5.85,20482477,965.634.567,69.187,13.6
Nepal,2009,12854985464,4.533.078.725,4.756.359.761,10.64,27026941,539.422.885,66.761,39.7
Pakistan,2009,"1,87E+16",3.472.550.596,9.853.493.008,535,190123222,2.229.162.535,64.14,71.6
Afghanistan,2010,15856668556,1.436.244.147,5.624.992.216,7.914,28189672,2.894.904.104,60.851,64.6
Bangladesh,2010,"1,15E+16",5.571.788.185,776.835.744,3.379,148391139,1.141.551.337,68.638,38.9
India,2010,"1,68E+17",8.497.584.702,135.063.447,8.318,1240613620,1.377.595.812,66.909,46.7
Sri Lanka,2010,58636161082,801.596.737,2.836.974.109,4.784,20668557,904.381.981,73.215,9.6
Nepal,2010,16002656434,4.816.414.647,5.891.654.349,10.629,27161567,496.881.283,66.814,38.2
Pakistan,2010,"1,97E+15",1.501.717.522,101.159.718,653,194454498,2.252.579.345,64.436,70.2
Afghanistan,2011,17805098206,426.354.777,6.087.388.504,7.916,29249157,3.689.508.302,61.419,62.3
Bangladesh,2011,"1,29E+16",6.464.379.125,8.561.788.328,3.73,150211005,1.218.938.691,68.809,37.2
India,2011,"1,82E+17",5.241.316.199,1.449.603.301,8.222,1257621191,1.361.588.085,67.359,44.6
Sri Lanka,2011,67753284044,8.669.483.012,324.804.021,4.118,20859743,920.756.933,73.38,9.3
Nepal,2011,21573872421,3.421.808.701,7.912.255.821,10.653,27266399,38.521.421,67.313,36.7
