Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Bangladesh,2008,91636997445,6.013.789.757,6.301.483.077,4.516,145421318,887.833.017,67.051,42.7
India,2008,"1,20E+16",3.086.698.059,9.935.034.053,8.486,1206734806,1.422.391.509,66.149,50.8
Maldives,2008,2271646188,8.979.816.872,6.743.130.961,10.515,336883,3.552.288.956,76.543,13.9
Sri Lanka,2008,40713826215,5.950.088.145,2.007.026.655,5.22,20285643,1.025.608.395,71.729,10.3
Nepal,2008,12545438605,6.104.639.144,4.666.933.791,10.65,26881544,626.509.659,66.421,41.2
Pakistan,2008,"2,02E+16",2.120.441.043,1.087.514.777,423,185931955,2.178.889.217,64.036,73
Afghanistan,2009,12416152732,2.139.052.839,4.533.873.851,7.914,27385307,3.561.288.374,60.364,67
Bhutan,2009,1331343798,7.667.492.403,1.908.249.648,3.96,697678,1.144.731.276,67.897,34.6
Bangladesh,2009,"1,02E+16",5.045.124.799,6.985.030.788,5,146706810,880.093.476,67.403,40.7
India,2009,"1,34E+17",7.861.888.833,1.096.636.136,8.406,1223640160,139.119.493,66.513,48.7
Maldives,2009,2345294875,-8.157.763.215,6.719.330.257,11.697,349037,3.544.224.471,77.069,12.8
Sri Lanka,2009,42066224093,3.538.912.053,2.053.766.451,5.85,20482477,965.634.567,69.187,13.6
Nepal,2009,12854985464,4.533.078.725,4.756.359.761,10.64,27026941,539.422.885,66.761,39.7
Pakistan,2009,"1,87E+16",3.472.550.596,9.853.493.008,535,190123222,2.229.162.535,64.14,71.6
Afghanistan,2010,15856668556,1.436.244.147,5.624.992.216,7.914,28189672,2.894.904.104,60.851,64.6
Bhutan,2010,1673464261,119.318.739,237.197.209,3.32,705516,1.117.177.172,68.43,32.6
Bangladesh,2010,"1,15E+16",5.571.788.185,776.835.744,3.379,148391139,1.141.551.337,68.638,38.9
India,2010,"1,68E+17",8.497.584.702,135.063.447,8.318,1240613620,1.377.595.812,66.909,46.7
Maldives,2010,2588176055,6.835.471.356,7.158.061.411,10.851,361575,3.529.155.518,77.657,11.9
Sri Lanka,2010,58636161082,801.596.737,2.836.974.109,4.784,20668557,904.381.981,73.215,9.6
Nepal,2010,16002656434,4.816.414.647,5.891.654.349,10.629,27161567,496.881.283,66.814,38.2
Pakistan,2010,"1,97E+15",1.501.717.522,101.159.718,653,194454498,2.252.579.345,64.436,70.2
Afghanistan,2011,17805098206,426.354.777,6.087.388.504,7.916,29249157,3.689.508.302,61.419,62.3
Bhutan,2011,1938441289,8.307.647.832,2.717.449.948,3.23,713331,1.101.609.833,68.881,30.7
Bangladesh,2011,"1,29E+16",6.464.379.125,8.561.788.328,3.73,150211005,1.218.938.691,68.809,37.2
India,2011,"1,82E+17",5.241.316.199,1.449.603.301,8.222,1257621191,1.361.588.085,67.359,44.6
Maldives,2011,2774350240,8.572.699.128,7.409.331.909,10.01,374440,3.496.208.754,78.124,11.2
Sri Lanka,2011,67753284044,8.669.483.012,324.804.021,4.118,20859743,920.756.933,73.38,9.3
Nepal,2011,21573872421,3.421.808.701,7.912.255.821,10.653,27266399,38.521.421,67.313,36.7
Pakistan,2011,"2,31E+16",2.680.116.854,1.161.044.321,796,198602738,2.110.834.578,64.648,68.7
Afghanistan,2012,19907329778,1.275.228.709,6.534.174.749,7.909,30466479,4.077.627.729,61.923,60.1
Bhutan,2012,1939730676,5.095.492.644,2.689.792.866,02.05,721145,1.089.467.832,69.326,29.1
Bangladesh,2012,"1,33E+16",6.521.458.779,8.765.216.529,4.075,152090649,1.243.571.246,69.554,35.6
India,2012,"1,83E+17",5.456.387.552,1.434.017.987,8.156,1274487215,133.219.205,67.887,42.5
Maldives,2012,2886163997,2.363.747.489,7.447.415.608,9.142,387539,3.438.491.239,78.682,10.4
Sri Lanka,2012,70447216891,863.218.138,3.351.892.476,3.88,21017147,751.749.909,73.906,8.9
Nepal,2012,21703100877,4.670.141.924,7.940.925.641,10.654,27330694,235.525.469,67.47,35.2
Pakistan,2012,"2,50E+16",3.027.583.911,1.236.892.763,3.667,202205861,179.797.543,64.782,67.1
Afghanistan,2013,20146416758,5.600.744.659,638.733.181,7.919,31541209,3.466.788.304,62.417,58.1
Bhutan,2013,1913162477,1.658.455.578,2.624.765.194,2.87,728889,1.068.123.041,69.707,27.8
Bangladesh,2013,"1,50E+16",6.013.605.658,9.738.286.176,4.426,154030139,1.267.157.297,69.565,34.1
India,2013,"1,86E+17",6.386.106.401,1.438.057.005,8.088,1291132063,1.297.548.835,68.46,40.5
Maldives,2013,3295009238,6.963.246.632,8.222.558.038,8.298,400728,3.346.640.402,79.057,9.7
Sri Lanka,2013,77000578167,4.051.746.329,3.643.832.447,4.186,21131756,543.830.441,74.239,8.4
Nepal,2013,22162204925,3.525.153.171,8.093.844.533,10.667,27381555,185.921.857,67.965,33.8
Pakistan,2013,"2,59E+16",436.686.505,1.259.668.368,2.954,205337562,1.536.897.649,65.15,65.5
Afghanistan,2014,20497128556,2.724.543.362,6.265.129.291,7.915,32716210,3.657.576.065,62.545,56.2
Bhutan,2014,2057330873,5.717.865.612,2.793.931.303,2.63,736357,1.019.359.843,70.049,26.6
Bangladesh,2014,"1,73E+16",6.061.059.359,1.108.522.513,4.406,155961299,1.245.960.208,69.986,32.7
India,2014,"2,04E+17",7.410.227.605,1.559.863.779,7.992,1307246509,1.240.362.184,69.074,38.5
Maldives,2014,3697353039,7.801.094.807,8.872.128.386,7.461,416738,3.917.483.406,79.424,9
Sri Lanka,2014,82528535714,6.377.978.893,3.885.623.616,4.157,21239457,508.369.831,74.651,8
Nepal,2014,22731612922,6.011.482.843,8.277.447.084,10.647,27462106,293.747.924,68.085,32.4
