Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Nepal,2009,12854985464,2.467405634400297,475.635976117312,10.64,27026941,0.540880389906175,66.761,39.7
Pakistan,2009,1.87e+16,-7.425742574257425,98357264.32197747,535,190123222,2.2541940141488856,64.14,71.6
Sri Lanka,2009,42066224093,3.32171648731394,2053.766450854552,5.85,20482477,0.9703118604621012,69.187,13.6
Afghanistan,2010,15856668556,27.70999921040598,562.4992215588745,7.914,28189672,2.937213740200174,60.851,64.6
Bangladesh,2010,1.15e+16,12.745098039215685,77497888.87327026,3.379,148391139,1.1480918983924469,68.638,38.9
India,2010,1.68e+17,25.37313432835821,135416859.2796845,8.318,1240613620,1.3871283858483363,66.909,46.7
Nepal,2010,16002656434,24.485994004543667,589.165434895564,10.629,27161567,0.4981177855089113,66.814,38.2
Pakistan,2010,1970000000000000.0,-89.46524064171123,10130904.763128698,653,194454498,2.2781414886814826,64.436,70.2
Sri Lanka,2010,58636161082,39.39012199518356,2836.9741091262445,4.784,20668557,0.9084838713598947,73.215,9.6
Afghanistan,2011,17805098206,12.287761726991098,608.7388503538751,7.916,29249157,3.7584154934473877,61.419,62.3
Bangladesh,2011,1.29e+16,12.173913043478262,85879193.73816852,3.73,150211005,1.226398026367329,68.809,37.2
India,2011,1.82e+17,8.333333333333332,144717663.23791215,8.222,1257621191,1.370899909997764,67.359,44.6
Nepal,2011,21573872421,34.81431979732522,791.2255821166557,10.653,27266399,0.3859571135936303,67.313,36.7
Pakistan,2011,2.31e+16,1072.5888324873097,116312595.85152346,796,198602738,2.1332702728223856,64.648,68.7
Sri Lanka,2011,67753284044,15.548635507106475,3248.040210466639,4.118,20859743,0.9250089399080933,73.38,9.3
Afghanistan,2012,19907329778,11.806908042167302,653.4174749238335,7.909,30466479,4.161904563608449,61.923,60.1
Bangladesh,2012,1.33e+16,3.10077519379845,87447848.28947636,4.075,152090649,1.2513357460060932,69.554,35.6
India,2012,1.83e+17,0.5494505494505495,143587160.26821816,8.156,1274487215,1.3411052645024968,67.887,42.5
Nepal,2012,21703100877,0.5990044507457505,794.0925640966161,10.654,27330694,0.2358030482866476,67.47,35.2
Pakistan,2012,2.5e+16,8.225108225108226,123636376.69236502,3.667,202205861,1.8142363173260985,64.782,67.1
Sri Lanka,2012,70447216891,3.9760919120179024,3351.8924757484924,3.88,21017147,0.7545826427487625,73.906,8.9
Afghanistan,2013,20146416758,1.2009997456525783,638.7331810267641,7.919,31541209,3.527581904032954,62.417,58.1
Bangladesh,2013,1.5e+16,12.781954887218044,97383538.68524393,4.426,154030139,1.2752197539771166,69.565,34.1
India,2013,1.86e+17,1.639344262295082,144059624.36392534,8.088,1291132063,1.3060035286426943,68.46,40.5
Nepal,2013,22162204925,2.115384573853861,809.384453329988,10.667,27381555,0.1860947987636172,67.965,33.8
Pakistan,2013,2.59e+16,3.5999999999999996,126133766.01792905,2.954,205337562,1.548768658095425,65.15,65.5
Sri Lanka,2013,77000578167,9.302512668654801,3643.8324466267736,4.186,21131756,0.5453118827212846,74.239,8.4
Afghanistan,2014,20497128556,1.7408147672748546,626.5129290953934,7.915,32716210,3.7252883996932393,62.545,56.2
Bangladesh,2014,1.73e+16,15.333333333333332,110924954.52990553,4.406,155961299,1.2537546304493046,69.986,32.7
India,2014,2.04e+17,9.67741935483871,156053199.29754734,7.992,1307246509,1.248086579350946,69.074,38.5
Nepal,2014,22731612922,2.5692750289375823,827.744708362862,10.647,27462106,0.29417978635618025,68.085,32.4
Pakistan,2014,2710000000000000.0,-89.53667953667954,13013103.551824335,1.827,208251628,1.419158760636303,65.284,63.8
Sri Lanka,2014,82528535714,7.179111739928606,3885.623616178135,4.157,21239457,0.5096642228880552,74.651,8
Afghanistan,2015,19134221645,-6.64925775957552,566.8811297163592,9.011,33753499,3.170565906014174,62.659,54.6
Bangladesh,2015,1.95e+16,12.716763005780345,123550655.76886523,4.382,157830000,1.1981825055201674,70.491,31.4
India,2015,2.1e+17,2.941176470588235,158746176.7353464,7.894,1322866505,1.1948776219680843,69.636,36.5
Nepal,2015,24360801287,7.1670601227915816,882.3076616084744,10.655,27610325,0.5397218989687098,67.456,31
Pakistan,2015,3e+16,1007.011070110701,142200786.01200068,3.566,210969298,1.3049933996194258,65.697,62.2
Sri Lanka,2015,85140955389,3.1654744051842343,3990.3531174014424,4.519,21336697,0.45782714689928283,74.927,7.5
Afghanistan,2016,18116572395,-5.3184773798516325,523.0530119825188,10.1,34636207,2.6151599868209217,63.136,53
Bangladesh,2016,2.65e+16,35.8974358974359,165848306.4522226,4.35,159784568,1.2384008109991764,71.09,30.1
India,2016,2.29e+16,-89.09523809523809,17106961.252822407,7.8,1338636340,1.192095720951072,70.117,34.7
Nepal,2016,24524109484,0.6703728464266422,880.2248936567165,10.684,27861186,0.9085767733628634,68.776,29.7
